Text,Entities
The BUN (Blood Urea Nitrogen) shows normal left collarbone function.,"{'entities': [(4, 29, 'TEST_NAME'), (43, 58, 'BODY_PART')]}"
The patient was diagnosed with Dysosmia last year.,"{'entities': [(31, 39, 'DIAGNOSIS')]}"
The Respiratory Syncytial Virus (RSV) Tests revealed a Tuberculosis in the right upper arm.,"{'entities': [(55, 67, 'DIAGNOSIS'), (4, 43, 'TEST_NAME'), (75, 90, 'BODY_PART')]}"
Examine the Absence of the Cremasteric Reflex in the patient's left breast.,"{'entities': [(12, 45, 'SYMPTOM'), (63, 74, 'BODY_PART')]}"
The patient was diagnosed with Chronic Pharyngitis last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
The patient was diagnosed with Clear Cell Renal Cell Carcinoma: Stage III last year.,"{'entities': [(31, 73, 'DIAGNOSIS')]}"
The Heavy Metal Blood Test revealed a American Trypanosomias in the right rib.,"{'entities': [(38, 60, 'DIAGNOSIS'), (4, 26, 'TEST_NAME'), (68, 77, 'BODY_PART')]}"
Prescribe 670 g of ferrous fumarate for pain relief.,"{'entities': [(19, 35, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 900 mg of lithium carbonate for pain relief.,"{'entities': [(20, 37, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to ciprofloxacin.,"{'entities': [(28, 41, 'MEDICATION')]}"
Electrolyte Panel measurements indicate Lupus.,"{'entities': [(40, 45, 'DIAGNOSIS'), (0, 17, 'TEST_NAME')]}"
She mentioned an allergy to Eldoquin.,"{'entities': [(28, 36, 'MEDICATION')]}"
Glomerular Filtration Rate (GFR) Test measurements indicate Retroplacental Hematomas.,"{'entities': [(60, 84, 'DIAGNOSIS'), (0, 37, 'TEST_NAME')]}"
The patient was diagnosed with Empty Nose Syndrome last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
The Ketones in Blood shows normal left breast function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 45, 'BODY_PART')]}"
Lactate Dehydrogenase (LDH) Test measurements indicate thermal Burn of An Arm.,"{'entities': [(55, 77, 'DIAGNOSIS'), (0, 32, 'TEST_NAME')]}"
The patient was diagnosed with Angina Pectoris last year.,"{'entities': [(31, 46, 'DIAGNOSIS')]}"
The patient was diagnosed with Hyperspermia last year.,"{'entities': [(31, 43, 'DIAGNOSIS')]}"
Cold Stimulation Test measurements indicate Sheehan's Syndrome.,"{'entities': [(44, 62, 'DIAGNOSIS'), (0, 21, 'TEST_NAME')]}"
The patient was diagnosed with Weekly Dialysis Apointment last year.,"{'entities': [(31, 57, 'DIAGNOSIS')]}"
The Pregnancy Test shows normal left chest function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 42, 'BODY_PART')]}"
The At-Home Medical Tests shows normal left thigh function.,"{'entities': [(4, 25, 'TEST_NAME'), (39, 49, 'BODY_PART')]}"
Autism Spectrum Disorder (ASD) Screening measurements indicate Pubic Lice.,"{'entities': [(63, 73, 'DIAGNOSIS'), (0, 40, 'TEST_NAME')]}"
The Arterial Blood Gas (ABG) Test shows normal left rib function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 55, 'BODY_PART')]}"
Examine the CD7 Antigen Bright Expression in the patient's left toe.,"{'entities': [(12, 41, 'SYMPTOM'), (59, 67, 'BODY_PART')]}"
Examine the Salmonellosis Confirmed in the patient's right eye.,"{'entities': [(12, 35, 'SYMPTOM'), (53, 62, 'BODY_PART')]}"
The Pleural Fluid Analysis shows normal right arm function.,"{'entities': [(4, 26, 'TEST_NAME'), (40, 49, 'BODY_PART')]}"
Red Blood Cell (RBC) Count measurements indicate Augmentation Rhinoplasty [C].,"{'entities': [(49, 77, 'DIAGNOSIS'), (0, 26, 'TEST_NAME')]}"
The Sleep Study revealed a Tularaemia in the right sole.,"{'entities': [(27, 37, 'DIAGNOSIS'), (4, 15, 'TEST_NAME'), (45, 55, 'BODY_PART')]}"
Prescribe 870 L of tetracycline for pain relief.,"{'entities': [(19, 31, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Sore Throat in the patient's left hip.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 49, 'BODY_PART')]}"
The Syphilis Tests revealed a Cholecystitis in the right lung.,"{'entities': [(30, 43, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (51, 61, 'BODY_PART')]}"
She mentioned an allergy to omeprazole.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Acid-Fast Bacillus (AFB) Tests shows normal spleen function.,"{'entities': [(4, 34, 'TEST_NAME'), (48, 54, 'BODY_PART')]}"
Prescribe 60 L of duloxetine for pain relief.,"{'entities': [(18, 28, 'MEDICATION'), (10, 14, 'DOSAGE')]}"
The Aldosterone Test shows normal right ankle function.,"{'entities': [(4, 20, 'TEST_NAME'), (34, 45, 'BODY_PART')]}"
Prescribe 450 g of levonorgestrel for pain relief.,"{'entities': [(19, 33, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Lung Adenocarcinoma (Stage E) Detected in the patient's left rib.,"{'entities': [(12, 50, 'SYMPTOM'), (68, 76, 'BODY_PART')]}"
The patient was diagnosed with Rift Valley Fever last year.,"{'entities': [(31, 48, 'DIAGNOSIS')]}"
The Strep A Test shows normal right ankle function.,"{'entities': [(4, 16, 'TEST_NAME'), (30, 41, 'BODY_PART')]}"
She mentioned an allergy to omeprazole.,"{'entities': [(28, 38, 'MEDICATION')]}"
She mentioned an allergy to Zolpidem.,"{'entities': [(28, 36, 'MEDICATION')]}"
The G6PD Test shows normal left sole function.,"{'entities': [(4, 13, 'TEST_NAME'), (27, 36, 'BODY_PART')]}"
"The Natriuretic Peptide Tests (BNP, NT-proBNP) revealed a Knee Osteoarthritis in the left hip.","{'entities': [(58, 77, 'DIAGNOSIS'), (4, 46, 'TEST_NAME'), (85, 93, 'BODY_PART')]}"
She mentioned an allergy to selenium sulfide.,"{'entities': [(28, 44, 'MEDICATION')]}"
The patient was diagnosed with Prostatitis last year.,"{'entities': [(31, 42, 'DIAGNOSIS')]}"
The Red Blood Cell (RBC) Indices shows normal left collarbone function.,"{'entities': [(4, 32, 'TEST_NAME'), (46, 61, 'BODY_PART')]}"
The patient was diagnosed with African Tick Bite Fever last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
She mentioned an allergy to Cheratussin.,"{'entities': [(28, 39, 'MEDICATION')]}"
Examine the IGH/CCND1 Translocation Findings in the patient's right breast.,"{'entities': [(12, 44, 'SYMPTOM'), (62, 74, 'BODY_PART')]}"
Examine the Back Pain in the patient's left thumb.,"{'entities': [(12, 21, 'SYMPTOM'), (39, 49, 'BODY_PART')]}"
She mentioned an allergy to Kelnor.,"{'entities': [(28, 34, 'MEDICATION')]}"
The patient was diagnosed with HPS last year.,"{'entities': [(31, 34, 'DIAGNOSIS')]}"
The Ketones in Urine revealed a Keloid Scar (Simple)[R] in the right foot.,"{'entities': [(32, 55, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (63, 73, 'BODY_PART')]}"
Examine the Eschar in the patient's right chin.,"{'entities': [(12, 18, 'SYMPTOM'), (36, 46, 'BODY_PART')]}"
Patient presents with Tibia Spiral Fracture.,"{'entities': [(22, 43, 'SYMPTOM')]}"
The Lung Function Tests shows normal left kidney function.,"{'entities': [(4, 23, 'TEST_NAME'), (37, 48, 'BODY_PART')]}"
The patient was diagnosed with Chemical Burn of the Torso last year.,"{'entities': [(31, 57, 'DIAGNOSIS')]}"
Patient presents with IGHV Hypermutation Detected.,"{'entities': [(22, 49, 'SYMPTOM')]}"
He has been prescribed Jolivette 845 g.,"{'entities': [(23, 32, 'MEDICATION'), (33, 38, 'DOSAGE')]}"
She mentioned an allergy to hyoscyamine.,"{'entities': [(28, 39, 'MEDICATION')]}"
Sputum Culture measurements indicate Ectopic Pregnancy.,"{'entities': [(37, 54, 'DIAGNOSIS'), (0, 14, 'TEST_NAME')]}"
The Prealbumin Blood Test revealed a Malaria in the left abdomen.,"{'entities': [(37, 44, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (52, 64, 'BODY_PART')]}"
He has been prescribed cefuroxime 115 g.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
The patient was diagnosed with Open-Angle Glaucoma last year.,"{'entities': [(31, 50, 'DIAGNOSIS')]}"
The IGF-1 (Insulin-like Growth Factor 1) Test revealed a Septicemic Plague in the pancreas.,"{'entities': [(57, 74, 'DIAGNOSIS'), (4, 45, 'TEST_NAME'), (82, 90, 'BODY_PART')]}"
Patient presents with Tuberculosis Detected.,"{'entities': [(22, 43, 'SYMPTOM')]}"
Prescribe 930 mL of Augmentin for pain relief.,"{'entities': [(20, 29, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to levofloxacin.,"{'entities': [(28, 40, 'MEDICATION')]}"
The patient was diagnosed with Severe Frostbite On Legs last year.,"{'entities': [(31, 55, 'DIAGNOSIS')]}"
He has been prescribed orphenadrine 980 mg.,"{'entities': [(23, 35, 'MEDICATION'), (36, 42, 'DOSAGE')]}"
He has been prescribed Humira 485 g.,"{'entities': [(23, 29, 'MEDICATION'), (30, 35, 'DOSAGE')]}"
The Ketones in Blood revealed a Otorrhea in the left temple.,"{'entities': [(32, 40, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (48, 59, 'BODY_PART')]}"
Prescribe 210 mL of Zinc oxide for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Prescribe 595 L of epinephrine for pain relief.,"{'entities': [(19, 30, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The patient was diagnosed with Trichomoniasis last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
The patient was diagnosed with Pork Tapeworm last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
Measles and Mumps Tests measurements indicate Metastatic Liver Cancer.,"{'entities': [(46, 69, 'DIAGNOSIS'), (0, 23, 'TEST_NAME')]}"
Prescribe 175 g of levonorgestrel for pain relief.,"{'entities': [(19, 33, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
He has been prescribed ezetimibe 495 L every 44 hours.,"{'entities': [(23, 32, 'MEDICATION'), (33, 53, 'DOSAGE')]}"
Examine the Abnormal LFT Results in the patient's left femur.,"{'entities': [(12, 32, 'SYMPTOM'), (50, 60, 'BODY_PART')]}"
Patient presents with Trouble Rising.,"{'entities': [(22, 36, 'SYMPTOM')]}"
Chloride Blood Test measurements indicate Pregnancy Pyelonephritis.,"{'entities': [(42, 66, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
Prescribe 355 L of Junel for pain relief.,"{'entities': [(19, 24, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
He has been prescribed Zolpidem 890 g.,"{'entities': [(23, 31, 'MEDICATION'), (32, 37, 'DOSAGE')]}"
He has been prescribed isosorbide 310 mg every 20 hours.,"{'entities': [(23, 33, 'MEDICATION'), (34, 55, 'DOSAGE')]}"
The Tuberculosis Screening revealed a Melanoma (Stage 2) in the right sole.,"{'entities': [(38, 56, 'DIAGNOSIS'), (4, 26, 'TEST_NAME'), (64, 74, 'BODY_PART')]}"
Prescribe 880 L of Junel for pain relief.,"{'entities': [(19, 24, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Prescribe 875 mL of prednisone for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Fibrotic Liver Tissue in the patient's left sole.,"{'entities': [(12, 33, 'SYMPTOM'), (51, 60, 'BODY_PART')]}"
Examine the Carcinoid Crisis in the patient's right upper arm.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 61, 'BODY_PART')]}"
Patient presents with Difficulty Breathing Through the Nose.,"{'entities': [(22, 59, 'SYMPTOM')]}"
Prescribe 930 mL of oxycodone for pain relief.,"{'entities': [(20, 29, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
She mentioned an allergy to Zithromycin.,"{'entities': [(28, 39, 'MEDICATION')]}"
Examine the Colonoscopic Findings in the patient's stomach.,"{'entities': [(12, 33, 'SYMPTOM'), (51, 58, 'BODY_PART')]}"
The Haptoglobin (HP) Test revealed a Pyelonephritis in the left calf.,"{'entities': [(37, 51, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (59, 68, 'BODY_PART')]}"
The Gonorrhea Test revealed a Pubic Lice in the left ankle.,"{'entities': [(30, 40, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (48, 58, 'BODY_PART')]}"
The Sleep Study shows normal esophagus function.,"{'entities': [(4, 15, 'TEST_NAME'), (29, 38, 'BODY_PART')]}"
The Potassium Blood Test shows normal left kidney function.,"{'entities': [(4, 24, 'TEST_NAME'), (38, 49, 'BODY_PART')]}"
The Blood Glucose Test shows normal right shoulder function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 50, 'BODY_PART')]}"
The Autism Spectrum Disorder (ASD) Screening revealed a Trichomoniasis in the left abdomen.,"{'entities': [(56, 70, 'DIAGNOSIS'), (4, 44, 'TEST_NAME'), (78, 90, 'BODY_PART')]}"
The patient was diagnosed with Liver Contusion last year.,"{'entities': [(31, 46, 'DIAGNOSIS')]}"
Glucagon Blood Test measurements indicate Lung Adenocarcinoma (Early).,"{'entities': [(42, 69, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
The Globulin Test revealed a Scleritis in the right shin.,"{'entities': [(29, 38, 'DIAGNOSIS'), (4, 17, 'TEST_NAME'), (46, 56, 'BODY_PART')]}"
Examine the Gestational Hypertension in the patient's left abdomen.,"{'entities': [(12, 36, 'SYMPTOM'), (54, 66, 'BODY_PART')]}"
The Heart Disease Risk Assessment shows normal right groin function.,"{'entities': [(4, 33, 'TEST_NAME'), (47, 58, 'BODY_PART')]}"
She mentioned an allergy to Zoloft.,"{'entities': [(28, 34, 'MEDICATION')]}"
She mentioned an allergy to folic acid.,"{'entities': [(28, 38, 'MEDICATION')]}"
The Cold Stimulation Test revealed a Lung Adenocarcinoma (Early) in the left ear.,"{'entities': [(37, 64, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (72, 80, 'BODY_PART')]}"
The Procalcitonin Test shows normal right hip bone function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 50, 'BODY_PART')]}"
He has been prescribed lamotrigine 330 g.,"{'entities': [(23, 34, 'MEDICATION'), (35, 40, 'DOSAGE')]}"
The Growth Hormone Tests revealed a Uterus Cancer in the left ear.,"{'entities': [(36, 49, 'DIAGNOSIS'), (4, 24, 'TEST_NAME'), (57, 65, 'BODY_PART')]}"
Prescribe 920 mg of Yuvafem for pain relief.,"{'entities': [(20, 27, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Prescribe 770 g of niacin for pain relief.,"{'entities': [(19, 25, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
Examine the Muscle Pain in the patient's left nipple.,"{'entities': [(12, 23, 'SYMPTOM'), (41, 52, 'BODY_PART')]}"
Phenylketonuria (PKU) Screening measurements indicate Irritable Bowel Syndrome.,"{'entities': [(54, 78, 'DIAGNOSIS'), (0, 31, 'TEST_NAME')]}"
She mentioned an allergy to docusate Sodium.,"{'entities': [(28, 43, 'MEDICATION')]}"
Prescribe 930 mL of topiramate for pain relief.,"{'entities': [(20, 30, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Laparoscopy measurements indicate Hypertensive Retinopathy.,"{'entities': [(34, 58, 'DIAGNOSIS'), (0, 11, 'TEST_NAME')]}"
He has been prescribed albuterol 630 mL.,"{'entities': [(23, 32, 'MEDICATION'), (33, 39, 'DOSAGE')]}"
Patient presents with 2019-Ncov Detected.,"{'entities': [(22, 40, 'SYMPTOM')]}"
The Diabetic Foot Exam revealed a Hypertrophic Scar (Simple)[R] in the spleen.,"{'entities': [(34, 63, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (71, 77, 'BODY_PART')]}"
The Xylose Testing shows normal left thumb function.,"{'entities': [(4, 18, 'TEST_NAME'), (32, 42, 'BODY_PART')]}"
He has been prescribed Zithromycin 365 mL.,"{'entities': [(23, 34, 'MEDICATION'), (35, 41, 'DOSAGE')]}"
Strep A Test measurements indicate Concussion.,"{'entities': [(35, 45, 'DIAGNOSIS'), (0, 12, 'TEST_NAME')]}"
Prescribe 155 mg twice daily of butalbital for pain relief.,"{'entities': [(32, 42, 'MEDICATION'), (10, 28, 'DOSAGE')]}"
The Protein in Urine revealed a Rickettsialpox in the left thigh.,"{'entities': [(32, 46, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (54, 64, 'BODY_PART')]}"
Prescribe 605 mL of naproxen for pain relief.,"{'entities': [(20, 28, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
He has been prescribed dexamethasone 170 mL.,"{'entities': [(23, 36, 'MEDICATION'), (37, 43, 'DOSAGE')]}"
He has been prescribed topiramate 380 L every 23 hours.,"{'entities': [(23, 33, 'MEDICATION'), (34, 54, 'DOSAGE')]}"
The Sleep Study shows normal right temple function.,"{'entities': [(4, 15, 'TEST_NAME'), (29, 41, 'BODY_PART')]}"
Examine the Prolapse in the patient's right calf.,"{'entities': [(12, 20, 'SYMPTOM'), (38, 48, 'BODY_PART')]}"
Prescribe 285 g once daily of DOK 100 for pain relief.,"{'entities': [(30, 37, 'MEDICATION'), (10, 26, 'DOSAGE')]}"
The patient was diagnosed with C. Difficile Infection last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
He has been prescribed gemfibrozil 300 g every 12 hours.,"{'entities': [(23, 34, 'MEDICATION'), (35, 55, 'DOSAGE')]}"
The Epithelial Cells in Urine revealed a Laceration of the Larynx in the left forearm.,"{'entities': [(41, 65, 'DIAGNOSIS'), (4, 29, 'TEST_NAME'), (73, 85, 'BODY_PART')]}"
Examine the Weakness in the patient's esophagus.,"{'entities': [(12, 20, 'SYMPTOM'), (38, 47, 'BODY_PART')]}"
She mentioned an allergy to Imdur.,"{'entities': [(28, 33, 'MEDICATION')]}"
She mentioned an allergy to Lyrica.,"{'entities': [(28, 34, 'MEDICATION')]}"
Lipoprotein (a) Blood Test measurements indicate Throat Cancer (Adenocarcinoma).,"{'entities': [(49, 79, 'DIAGNOSIS'), (0, 26, 'TEST_NAME')]}"
He has been prescribed vaginal ointment 870 L.,"{'entities': [(23, 39, 'MEDICATION'), (40, 45, 'DOSAGE')]}"
Potassium Blood Test measurements indicate Strep Throat.,"{'entities': [(43, 55, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
The Aldosterone Test revealed a Chylothorax in the right nipple.,"{'entities': [(32, 43, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (51, 63, 'BODY_PART')]}"
She mentioned an allergy to sennosides.,"{'entities': [(28, 38, 'MEDICATION')]}"
Suicide Risk Screening measurements indicate Arm Ballistic Wound.,"{'entities': [(45, 64, 'DIAGNOSIS'), (0, 22, 'TEST_NAME')]}"
The Albumin Blood Test shows normal left leg function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 44, 'BODY_PART')]}"
Patient presents with Chronic Pharyngitis Confirmed.,"{'entities': [(22, 51, 'SYMPTOM')]}"
The patient was diagnosed with Atopic Dermatitis last year.,"{'entities': [(31, 48, 'DIAGNOSIS')]}"
The Galactosemia Tests revealed a Cervicitis in the left sole.,"{'entities': [(34, 44, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (52, 61, 'BODY_PART')]}"
The patient was diagnosed with Nasal Cancer (Melanoma) last year.,"{'entities': [(31, 54, 'DIAGNOSIS')]}"
Patient presents with Mild Hemoptysis.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Prescribe 765 mg every 31 hours of Levora for pain relief.,"{'entities': [(35, 41, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The patient was diagnosed with Gonorrhea last year.,"{'entities': [(31, 40, 'DIAGNOSIS')]}"
Flu (Influenza) Test measurements indicate Q - Fever.,"{'entities': [(43, 52, 'DIAGNOSIS'), (0, 20, 'TEST_NAME')]}"
She mentioned an allergy to Lamictal.,"{'entities': [(28, 36, 'MEDICATION')]}"
The Blood Differential shows normal right bicep function.,"{'entities': [(4, 22, 'TEST_NAME'), (36, 47, 'BODY_PART')]}"
Examine the Bellybutton Pain in the patient's left temple.,"{'entities': [(12, 28, 'SYMPTOM'), (46, 57, 'BODY_PART')]}"
Prescribe 425 mg every 2 hours of quetiapine for pain relief.,"{'entities': [(34, 44, 'MEDICATION'), (10, 30, 'DOSAGE')]}"
The Pharmacogenetic Tests revealed a Complicated Fracture of Ulna in the right hand.,"{'entities': [(37, 65, 'DIAGNOSIS'), (4, 25, 'TEST_NAME'), (73, 83, 'BODY_PART')]}"
Blood Alcohol Level measurements indicate Gonorrhea.,"{'entities': [(42, 51, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
Examine the Depression of Erythropoietin in the patient's left ear.,"{'entities': [(12, 40, 'SYMPTOM'), (58, 66, 'BODY_PART')]}"
Examine the Cervical Intraepithelial Lesions in the patient's right palm.,"{'entities': [(12, 44, 'SYMPTOM'), (62, 72, 'BODY_PART')]}"
Patient presents with Submucous Myoma.,"{'entities': [(22, 37, 'SYMPTOM')]}"
Prescribe 535 mg of Nasal Decongestant for pain relief.,"{'entities': [(20, 38, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Y. Pestis - Pneumonic Form in the patient's left heel.,"{'entities': [(12, 38, 'SYMPTOM'), (56, 65, 'BODY_PART')]}"
He has been prescribed baclofen 80 mg.,"{'entities': [(23, 31, 'MEDICATION'), (32, 37, 'DOSAGE')]}"
